"" "tlid" "prop_account_id" "prop_class" "code_area" "mrkt_land_val" "mrkt_bld_val" "mrkt_special_val" "mrkt_tot_val" "assessed_val" "legal_desc" "address" "lot_size" "taxes_2018" "taxes_2019"
77 "1N234AB90811" "R2091077" "1020" "001.12" 0 318650 0 318650 187460 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:81 8 " "1280 NE 63RD WAY. HILLSBORO OR, 97124" "" 3082.49 3220.19
78 "1N234AB90821" "R2091078" "1020" "001.12" 0 204410 0 204410 138230 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:82 8 " "1280 NE 63RD WAY. HILLSBORO OR, 97124" "" 2273.04 2374.52
79 "1N234AB90831" "R2091079" "1020" "001.12" 0 327380 0 327380 192900 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:83 8 " "1280 NE 63RD WAY. HILLSBORO OR, 97124" "" 3172.09 3313.65
80 "1N234AB90842" "R2091080" "1020" "001.12" 0 365760 0 365760 213250 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:84 8 " "1280 NE 63RD WAY. HILLSBORO OR, 97124" "" 3436.63 3663.19
81 "1N234AB90852" "R2091081" "1020" "001.12" 0 281430 0 281430 164230 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:85  " "1280 NE 63RD WAY. HILLSBORO OR, 97124" "" 2700.56 2821.14
82 "1N234AB90862" "R2091082" "1020" "001.12" 0 223820 0 223820 151120 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:86  " "1280 NE 63RD WAY. HILLSBORO OR, 97124" "" 2484.96 2595.95
83 "1N234AB90872" "R2091083" "1020" "001.12" 0 198840 0 198840 132260 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:87 8 " "1280 NE 63RD WAY. HILLSBORO OR, 97124" "" 2174.84 2271.98
84 "1N234AB90882" "R2091084" "1020" "001.12" 0 223820 0 223820 151120 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:88 8 " "1280 NE 63RD WAY. HILLSBORO OR, 97124" "" 2484.96 2595.95
85 "1N234AB90892" "R2091085" "1020" "001.12" 0 281430 0 281430 164230 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:89, BLDG 8  " "1280 NE 63RD WAY. HILLSBORO OR, 97124" "" 2700.56 2821.14
86 "1N234AB90902" "R2091086" "1020" "001.12" 0 309390 0 309390 180780 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 3 Lot:90 8 " "1280 NE 63RD WAY. HILLSBORO OR, 97124" "" 2972.72 3105.43
87 "1N234AB90911" "R2091087" "1020" "001.12" 0 327380 0 327380 192900 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:91 9 " "1210 NE 63RD WAY. HILLSBORO OR, 97124" "" 3172.09 3313.65
88 "1N234AB90921" "R2091088" "1020" "001.12" 0 204410 0 204410 138230 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:92, BLDG 9  " "1210 NE 63RD WAY. HILLSBORO OR, 97124" "" 2273.04 2374.52
89 "1N234AB90931" "R2091089" "1020" "001.12" 0 315080 0 315080 185430 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:93 9 " "1210 NE 63RD WAY. HILLSBORO OR, 97124" "" 3049.11 3185.32
90 "1N234AB90942" "R2091090" "1020" "001.12" 0 309390 0 309390 180780 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:94 9 " "1210 NE 63RD WAY. HILLSBORO OR, 97124" "" 2972.72 3105.43
91 "1N234AB90952" "R2091091" "1020" "001.12" 0 281430 0 281430 164230 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:95 9 " "1210 NE 63RD WAY. HILLSBORO OR, 97124" "" 2700.56 2821.14
92 "1N234AB90962" "R2091092" "1020" "001.12" 0 223820 0 223820 151120 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:96, BLDG 9  " "1210 NE 63RD WAY. HILLSBORO OR, 97124" "" 2484.96 2595.95
93 "1N234AB90972" "R2091093" "1020" "001.12" 0 188820 0 188820 128320 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:97 9 " "1210 NE 63RD WAY. HILLSBORO OR, 97124" "" 2110.13 2204.28
94 "1N234AB90982" "R2091094" "1020" "001.12" 0 220750 0 220750 149150 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:98 9 " "1210 NE 63RD WAY. HILLSBORO OR, 97124" "" 2452.59 2562.11
95 "1N234AB90992" "R2091095" "1020" "001.12" 0 270200 0 270200 157990 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:99 9 " "1210 NE 63RD WAY. HILLSBORO OR, 97124" "" 2597.91 2713.95
96 "1N234AB91002" "R2091096" "1020" "001.12" 0 334610 0 334610 204920 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:100 9 " "1210 NE 63RD WAY. HILLSBORO OR, 97124" "" 3369.72 3520.12
97 "1N234AB91011" "R2091097" "1020" "001.12" 0 325560 0 325560 186920 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:101 7 " "1211 NE 64TH LN. HILLSBORO OR, 97124" "" 3073.69 3210.92
98 "1N234AB91021" "R2091098" "1020" "001.12" 0 204410 0 204410 138230 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:102 7 " "1211 NE 64TH LN. HILLSBORO OR, 97124" "" 2273.04 2374.52
99 "1N234AB91031" "R2091099" "1020" "001.12" 0 340550 0 340550 201080 "EAST VILLAGE AT ORENCO STATION, A CONDO, STAGE 4 Lot:103 7 " "1211 NE 64TH LN. HILLSBORO OR, 97124" "" 3306.56 3454.15
